prestg10,educ,race,mawrkgrw,unrelat,colath,popular,divlaw,letdie1,helpfulv
,3.0,black,,0.0,"yes, allowed to teach",,,,
24.0,8.0,black,,0.0,not allowed,,,,
32.0,8.0,white,,0.0,not allowed,,,,
47.0,12.0,white,,0.0,not allowed,,,,
61.0,16.0,white,,0.0,"yes, allowed to teach",,,,
,12.0,white,,0.0,,,,,
25.0,9.0,white,,0.0,not allowed,,,,
40.0,12.0,white,,0.0,"yes, allowed to teach",,,,
38.0,6.0,white,,0.0,not allowed,,,,
47.0,12.0,white,,0.0,not allowed,,,,
39.0,15.0,white,,0.0,not allowed,,,,
,8.0,white,,0.0,not allowed,,,,
31.0,11.0,white,,0.0,not allowed,,,,
37.0,4.0,white,,0.0,not allowed,,,,
,13.0,white,,,,,,,
49.0,8.0,white,,0.0,not allowed,,,,
,11.0,white,,0.0,not allowed,,,,
47.0,12.0,white,,0.0,not allowed,,,,
31.0,12.0,white,,0.0,not allowed,,,,
31.0,12.0,white,,,not allowed,,,,
60.0,14.0,white,,0.0,"yes, allowed to teach",,,,
31.0,10.0,white,,,not allowed,,,,
,5.0,white,,,not allowed,,,,
61.0,16.0,white,,,not allowed,,,,
35.0,12.0,white,,0.0,not allowed,,,,
,2.0,white,,,not allowed,,,,
62.0,10.0,white,,0.0,"yes, allowed to teach",,,,
32.0,12.0,white,,0.0,"yes, allowed to teach",,,,
38.0,12.0,white,,0.0,"yes, allowed to teach",,,,
42.0,12.0,white,,0.0,"yes, allowed to teach",,,,
48.0,10.0,white,,0.0,"yes, allowed to teach",,,,
,11.0,white,,0.0,"yes, allowed to teach",,,,
25.0,12.0,white,,0.0,not allowed,,,,
31.0,12.0,white,,0.0,"yes, allowed to teach",,,,
32.0,11.0,white,,,not allowed,,,,
17.0,12.0,white,,0.0,not allowed,,,,
40.0,12.0,white,,0.0,"yes, allowed to teach",,,,
31.0,9.0,white,,0.0,not allowed,,,,
65.0,12.0,white,,0.0,"yes, allowed to teach",,,,
44.0,9.0,white,,0.0,not allowed,,,,
72.0,8.0,white,,0.0,not allowed,,,,
50.0,10.0,white,,0.0,"yes, allowed to teach",,,,
29.0,18.0,white,,,not allowed,,,,
47.0,18.0,white,,0.0,"yes, allowed to teach",,,,
,18.0,white,,1.0,"yes, allowed to teach",,,,
64.0,12.0,white,,1.0,"yes, allowed to teach",,,,
61.0,14.0,white,,0.0,not allowed,,,,
28.0,12.0,white,,0.0,"yes, allowed to teach",,,,
43.0,12.0,white,,0.0,not allowed,,,,
49.0,12.0,white,,0.0,"yes, allowed to teach",,,,
29.0,10.0,white,,3.0,"yes, allowed to teach",,,,
,10.0,white,,0.0,not allowed,,,,
55.0,19.0,white,,,not allowed,,,,
38.0,16.0,white,,0.0,not allowed,,,,
47.0,14.0,white,,0.0,not allowed,,,,
36.0,9.0,white,,1.0,"yes, allowed to teach",,,,
47.0,16.0,white,,0.0,"yes, allowed to teach",,,,
62.0,12.0,white,,,"yes, allowed to teach",,,,
32.0,10.0,black,,0.0,not allowed,,,,
25.0,12.0,black,,0.0,not allowed,,,,
25.0,1.0,black,,,,,,,
25.0,5.0,black,,0.0,"yes, allowed to teach",,,,
33.0,6.0,black,,0.0,not allowed,,,,
,1.0,black,,0.0,not allowed,,,,
25.0,2.0,black,,0.0,,,,,
47.0,14.0,white,,0.0,"yes, allowed to teach",,,,
38.0,16.0,white,,0.0,"yes, allowed to teach",,,,
52.0,18.0,white,,0.0,"yes, allowed to teach",,,,
58.0,15.0,white,,0.0,not allowed,,,,
53.0,18.0,white,,0.0,"yes, allowed to teach",,,,
56.0,16.0,white,,0.0,"yes, allowed to teach",,,,
47.0,12.0,white,,0.0,"yes, allowed to teach",,,,
,12.0,white,,0.0,"yes, allowed to teach",,,,
59.0,12.0,white,,0.0,not allowed,,,,
,9.0,white,,0.0,not allowed,,,,
46.0,12.0,white,,0.0,not allowed,,,,
44.0,12.0,white,,0.0,"yes, allowed to teach",,,,
31.0,13.0,white,,0.0,"yes, allowed to teach",,,,
,12.0,white,,,not allowed,,,,
33.0,14.0,white,,0.0,"yes, allowed to teach",,,,
40.0,13.0,white,,0.0,not allowed,,,,
31.0,8.0,white,,0.0,"yes, allowed to teach",,,,
40.0,10.0,white,,0.0,"yes, allowed to teach",,,,
48.0,3.0,white,,0.0,"yes, allowed to teach",,,,
,9.0,white,,0.0,not allowed,,,,
,10.0,white,,0.0,not allowed,,,,
37.0,13.0,white,,0.0,not allowed,,,,
45.0,11.0,white,,0.0,,,,,
,12.0,white,,0.0,not allowed,,,,
31.0,10.0,white,,0.0,not allowed,,,,
25.0,7.0,white,,0.0,"yes, allowed to teach",,,,
31.0,9.0,black,,0.0,"yes, allowed to teach",,,,
25.0,6.0,black,,1.0,not allowed,,,,
74.0,14.0,black,,0.0,"yes, allowed to teach",,,,
,12.0,black,,0.0,"yes, allowed to teach",,,,
26.0,9.0,black,,0.0,"yes, allowed to teach",,,,
41.0,4.0,black,,0.0,not allowed,,,,
35.0,6.0,black,,0.0,not allowed,,,,
35.0,11.0,white,,0.0,"yes, allowed to teach",,,,
45.0,12.0,white,,0.0,"yes, allowed to teach",,,,
64.0,17.0,white,,0.0,"yes, allowed to teach",,,,
64.0,12.0,white,,0.0,not allowed,,,,
35.0,15.0,white,,0.0,not allowed,,,,
25.0,12.0,white,,0.0,not allowed,,,,
53.0,14.0,white,,0.0,not allowed,,,,
49.0,10.0,white,,0.0,not allowed,,,,
45.0,12.0,white,,0.0,not allowed,,,,
39.0,11.0,white,,0.0,not allowed,,,,
,16.0,white,,2.0,"yes, allowed to teach",,,,
50.0,14.0,white,,0.0,"yes, allowed to teach",,,,
38.0,15.0,white,,3.0,"yes, allowed to teach",,,,
27.0,14.0,white,,0.0,not allowed,,,,
61.0,15.0,white,,,not allowed,,,,
33.0,12.0,white,,2.0,"yes, allowed to teach",,,,
29.0,10.0,white,,0.0,not allowed,,,,
39.0,12.0,white,,0.0,,,,,
25.0,4.0,white,,0.0,not allowed,,,,
,4.0,white,,0.0,,,,,
31.0,9.0,white,,0.0,"yes, allowed to teach",,,,
46.0,7.0,white,,0.0,not allowed,,,,
24.0,5.0,white,,0.0,not allowed,,,,
38.0,8.0,white,,0.0,not allowed,,,,
72.0,20.0,white,,,"yes, allowed to teach",,,,
31.0,9.0,white,,0.0,"yes, allowed to teach",,,,
31.0,5.0,white,,0.0,not allowed,,,,
42.0,14.0,white,,0.0,not allowed,,,,
61.0,12.0,white,,0.0,"yes, allowed to teach",,,,
39.0,12.0,white,,,not allowed,,,,
45.0,12.0,white,,0.0,not allowed,,,,
28.0,11.0,white,,,"yes, allowed to teach",,,,
37.0,12.0,white,,0.0,"yes, allowed to teach",,,,
33.0,12.0,white,,0.0,not allowed,,,,
39.0,8.0,white,,0.0,not allowed,,,,
43.0,14.0,white,,0.0,"yes, allowed to teach",,,,
35.0,12.0,white,,0.0,"yes, allowed to teach",,,,
46.0,16.0,white,,0.0,not allowed,,,,
39.0,14.0,white,,0.0,not allowed,,,,
,5.0,white,,0.0,"yes, allowed to teach",,,,
,5.0,white,,0.0,,,,,
38.0,12.0,white,,,not allowed,,,,
28.0,10.0,white,,,,,,,
,3.0,white,,0.0,,,,,
24.0,12.0,white,,0.0,not allowed,,,,
31.0,12.0,white,,1.0,,,,,
38.0,12.0,white,,0.0,not allowed,,,,
31.0,12.0,white,,0.0,not allowed,,,,
38.0,12.0,black,,0.0,not allowed,,,,
39.0,9.0,white,,,not allowed,,,,
,7.0,white,,,not allowed,,,,
35.0,8.0,black,,0.0,not allowed,,,,
45.0,12.0,black,,0.0,"yes, allowed to teach",,,,
37.0,12.0,black,,0.0,not allowed,,,,
47.0,16.0,black,,0.0,"yes, allowed to teach",,,,
39.0,16.0,white,,0.0,"yes, allowed to teach",,,,
45.0,13.0,black,,0.0,"yes, allowed to teach",,,,
,12.0,white,,0.0,not allowed,,,,
27.0,5.0,white,,0.0,not allowed,,,,
,12.0,white,,0.0,not allowed,,,,
46.0,8.0,white,,0.0,not allowed,,,,
46.0,10.0,white,,0.0,not allowed,,,,
46.0,13.0,white,,0.0,not allowed,,,,
46.0,12.0,white,,0.0,not allowed,,,,
47.0,12.0,white,,0.0,not allowed,,,,
31.0,8.0,white,,0.0,"yes, allowed to teach",,,,
25.0,8.0,white,,0.0,not allowed,,,,
,12.0,white,,0.0,"yes, allowed to teach",,,,
38.0,9.0,white,,,not allowed,,,,
61.0,18.0,white,,0.0,"yes, allowed to teach",,,,
,9.0,white,,0.0,not allowed,,,,
59.0,12.0,white,,0.0,"yes, allowed to teach",,,,
28.0,10.0,white,,0.0,"yes, allowed to teach",,,,
45.0,12.0,white,,0.0,"yes, allowed to teach",,,,
31.0,12.0,white,,0.0,not allowed,,,,
48.0,12.0,white,,0.0,not allowed,,,,
,7.0,white,,,not allowed,,,,
27.0,8.0,white,,0.0,not allowed,,,,
,12.0,white,,0.0,"yes, allowed to teach",,,,
,7.0,white,,0.0,not allowed,,,,
,11.0,black,,0.0,not allowed,,,,
25.0,6.0,black,,0.0,not allowed,,,,
,14.0,black,,0.0,"yes, allowed to teach",,,,
34.0,12.0,black,,0.0,not allowed,,,,
25.0,10.0,black,,0.0,not allowed,,,,
35.0,12.0,black,,0.0,"yes, allowed to teach",,,,
,9.0,black,,0.0,not allowed,,,,
,,black,,0.0,not allowed,,,,
24.0,11.0,black,,0.0,not allowed,,,,
28.0,9.0,black,,0.0,not allowed,,,,
44.0,12.0,black,,1.0,not allowed,,,,
25.0,11.0,black,,0.0,not allowed,,,,
25.0,12.0,black,,0.0,"yes, allowed to teach",,,,
35.0,7.0,black,,1.0,not allowed,,,,
47.0,0.0,black,,,not allowed,,,,
25.0,7.0,black,,0.0,not allowed,,,,
38.0,11.0,white,,0.0,"yes, allowed to teach",,,,
67.0,16.0,white,,0.0,"yes, allowed to teach",,,,
25.0,0.0,white,,0.0,"yes, allowed to teach",,,,
34.0,14.0,white,,0.0,"yes, allowed to teach",,,,
,8.0,white,,0.0,"yes, allowed to teach",,,,
61.0,18.0,white,,0.0,"yes, allowed to teach",,,,
53.0,12.0,white,,1.0,"yes, allowed to teach",,,,
,3.0,white,,0.0,not allowed,,,,
48.0,12.0,white,,0.0,not allowed,,,,
33.0,12.0,white,,0.0,not allowed,,,,
73.0,18.0,white,,0.0,"yes, allowed to teach",,,,
39.0,16.0,white,,0.0,"yes, allowed to teach",,,,
39.0,12.0,white,,0.0,not allowed,,,,
31.0,12.0,white,,0.0,not allowed,,,,
36.0,11.0,white,,0.0,not allowed,,,,
,13.0,white,,0.0,not allowed,,,,
24.0,8.0,white,,0.0,not allowed,,,,
,16.0,white,,0.0,not allowed,,,,
61.0,16.0,white,,0.0,,,,,
42.0,3.0,white,,0.0,not allowed,,,,
,11.0,white,,0.0,not allowed,,,,
21.0,3.0,white,,0.0,not allowed,,,,
33.0,11.0,white,,0.0,"yes, allowed to teach",,,,
25.0,11.0,black,,0.0,"yes, allowed to teach",,,,
22.0,12.0,black,,0.0,"yes, allowed to teach",,,,
25.0,4.0,black,,0.0,not allowed,,,,
25.0,9.0,black,,0.0,,,,,
35.0,2.0,black,,0.0,not allowed,,,,
,0.0,black,,,,,,,
32.0,2.0,black,,,"yes, allowed to teach",,,,
44.0,8.0,white,,0.0,not allowed,,,,
45.0,8.0,white,,0.0,not allowed,,,,
,14.0,white,,0.0,not allowed,,,,
47.0,12.0,white,,,not allowed,,,,
61.0,17.0,white,,,not allowed,,,,
38.0,12.0,white,,0.0,"yes, allowed to teach",,,,
,12.0,white,,0.0,not allowed,,,,
28.0,12.0,black,,0.0,"yes, allowed to teach",,,,
,6.0,black,,0.0,not allowed,,,,
,5.0,black,,1.0,not allowed,,,,
25.0,8.0,black,,0.0,"yes, allowed to teach",,,,
,6.0,black,,0.0,not allowed,,,,
25.0,9.0,black,,0.0,"yes, allowed to teach",,,,
35.0,9.0,black,,0.0,not allowed,,,,
35.0,5.0,black,,,not allowed,,,,
46.0,8.0,white,,0.0,not allowed,,,,
28.0,14.0,white,,0.0,"yes, allowed to teach",,,,
,12.0,white,,0.0,not allowed,,,,
,12.0,white,,0.0,not allowed,,,,
46.0,8.0,white,,0.0,not allowed,,,,
35.0,10.0,white,,0.0,not allowed,,,,
27.0,9.0,white,,0.0,not allowed,,,,
38.0,12.0,white,,0.0,not allowed,,,,
32.0,5.0,white,,0.0,not allowed,,,,
47.0,12.0,white,,0.0,"yes, allowed to teach",,,,
31.0,12.0,white,,0.0,not allowed,,,,
33.0,3.0,white,,,not allowed,,,,
64.0,12.0,white,,0.0,"yes, allowed to teach",,,,
52.0,12.0,white,,3.0,"yes, allowed to teach",,,,
50.0,11.0,white,,0.0,not allowed,,,,
35.0,12.0,white,,0.0,not allowed,,,,
42.0,7.0,white,,0.0,not allowed,,,,
37.0,12.0,white,,0.0,not allowed,,,,
25.0,8.0,white,,0.0,not allowed,,,,
46.0,8.0,white,,0.0,not allowed,,,,
24.0,8.0,white,,,not allowed,,,,
64.0,18.0,white,,0.0,"yes, allowed to teach",,,,
38.0,12.0,white,,0.0,not allowed,,,,
47.0,13.0,white,,0.0,"yes, allowed to teach",,,,
25.0,10.0,white,,0.0,not allowed,,,,
50.0,7.0,white,,0.0,not allowed,,,,
36.0,14.0,white,,0.0,not allowed,,,,
25.0,6.0,white,,0.0,not allowed,,,,
49.0,14.0,white,,0.0,not allowed,,,,
,13.0,black,,2.0,"yes, allowed to teach",,,,
27.0,8.0,black,,,not allowed,,,,
25.0,9.0,black,,0.0,not allowed,,,,
48.0,13.0,black,,,"yes, allowed to teach",,,,
44.0,16.0,black,,0.0,"yes, allowed to teach",,,,
25.0,11.0,black,,0.0,not allowed,,,,
34.0,4.0,black,,0.0,not allowed,,,,
33.0,14.0,black,,0.0,"yes, allowed to teach",,,,
